# stage 	 maxsize(exp) 	 error(exp) 	 maxsize(sim) 	 max_possible_size(sim) 
1 989.17 82.27 3335.6 3981.1
2 939.85 63.4 1770.6 2626.5
3 842.48 75.536 1630.3 1732.9
4 724.91 86.561 1143 1143.3
5 548.57 79.4 754.05 754.27
6 440.78 54.135 497.63 497.63
7 256 50.434 328.32 328.32
8 187.03 27.276 216.61 216.61
9 117.7 30.632 142.9 142.91
